,Date,City,CO,NO2,SO2,O3,PM2.5,PM10,AQI
0,2023-01-01 00:00:00+00:00,Dubai,392.0,48.05,25.1,54.0,21.7,38.5,60.35
1,2023-01-01 01:00:00+00:00,Dubai,369.0,42.35,21.2,60.0,21.9,39.9,60.003334
2,2023-01-01 02:00:00+00:00,Dubai,337.0,34.35,15.7,70.0,22.5,41.0,58.383354
3,2023-01-01 03:00:00+00:00,Dubai,315.0,29.05,10.05,78.0,23.4,42.1,56.950005
4,2023-01-01 04:00:00+00:00,Dubai,342.0,35.35,9.1,77.0,25.4,45.1,55.38334
5,2023-01-01 05:00:00+00:00,Dubai,389.0,46.6,9.75,72.0,29.4,50.5,53.683342
6,2023-01-01 06:00:00+00:00,Dubai,418.0,55.0,10.4,69.0,29.4,50.8,51.65
7,2023-01-01 07:00:00+00:00,Dubai,379.0,48.45,9.7,75.0,22.8,41.3,49.333336
8,2023-01-01 08:00:00+00:00,Dubai,309.0,35.9,8.7,85.0,21.2,39.1,46.11667
9,2023-01-01 09:00:00+00:00,Dubai,238.0,23.75,7.85,94.0,21.7,39.9,43.61666
10,2023-01-01 10:00:00+00:00,Dubai,226.0,23.55,8.0,95.0,22.9,41.7,42.449997
11,2023-01-01 11:00:00+00:00,Dubai,233.0,27.4,8.6,92.0,22.2,40.6,42.533333
12,2023-01-01 12:00:00+00:00,Dubai,245.0,33.15,8.3,91.0,21.8,40.9,42.85
13,2023-01-01 13:00:00+00:00,Dubai,265.0,41.35,8.35,81.0,21.0,39.8,43.86666
14,2023-01-01 14:00:00+00:00,Dubai,294.0,52.9,8.45,67.0,21.6,40.6,44.88333
15,2023-01-01 15:00:00+00:00,Dubai,337.0,63.6,8.9,54.0,22.1,41.3,45.716667
16,2023-01-01 16:00:00+00:00,Dubai,373.0,63.5,9.65,53.0,22.5,41.8,46.649994
17,2023-01-01 17:00:00+00:00,Dubai,412.0,59.3,10.65,56.0,23.0,42.5,47.63333
18,2023-01-01 18:00:00+00:00,Dubai,449.0,52.85,12.05,61.0,23.7,43.4,48.666664
19,2023-01-01 19:00:00+00:00,Dubai,456.0,48.35,12.85,65.0,24.4,44.2,49.733337
20,2023-01-01 20:00:00+00:00,Dubai,451.0,43.45,13.55,69.0,25.1,45.4,50.80001
21,2023-01-01 21:00:00+00:00,Dubai,443.0,39.75,15.1,72.0,26.0,46.7,51.86667
22,2023-01-01 22:00:00+00:00,Dubai,437.0,39.9,17.05,71.0,26.8,47.6,52.933327
23,2023-01-01 23:00:00+00:00,Dubai,430.0,42.0,19.45,67.0,27.9,48.9,53.98333
24,2023-01-02 00:00:00+00:00,Dubai,454.0,49.3,26.65,52.0,31.4,54.7,55.066673
25,2023-01-02 01:00:00+00:00,Dubai,469.0,59.95,25.25,38.0,33.8,57.2,56.683342
26,2023-01-02 02:00:00+00:00,Dubai,492.0,75.05,23.35,19.0,37.4,59.8,58.666664
27,2023-01-02 03:00:00+00:00,Dubai,546.0,92.2,23.2,1.0,43.4,66.8,60.230003
28,2023-01-02 04:00:00+00:00,Dubai,635.0,100.05,27.15,0.0,46.1,71.5,60.896667
29,2023-01-02 05:00:00+00:00,Dubai,749.0,105.4,33.15,2.0,47.6,74.7,61.586666
30,2023-01-02 06:00:00+00:00,Dubai,820.0,106.15,38.95,12.0,44.1,71.7,62.193333
31,2023-01-02 07:00:00+00:00,Dubai,742.0,97.85,39.2,24.0,32.9,57.7,62.68333
32,2023-01-02 08:00:00+00:00,Dubai,597.0,84.4,37.45,39.0,30.6,53.4,63.019997
33,2023-01-02 09:00:00+00:00,Dubai,440.0,72.0,35.15,53.0,30.4,52.0,63.33333
34,2023-01-02 10:00:00+00:00,Dubai,407.0,72.65,34.5,56.0,29.7,50.5,63.62333
35,2023-01-02 11:00:00+00:00,Dubai,409.0,78.1,34.1,54.0,29.1,49.8,63.85
36,2023-01-02 12:00:00+00:00,Dubai,504.0,95.45,36.75,45.0,31.1,53.7,64.08
37,2023-01-02 13:00:00+00:00,Dubai,504.0,103.35,35.0,35.0,28.6,49.8,64.39
38,2023-01-02 14:00:00+00:00,Dubai,505.0,114.45,32.5,21.0,28.0,48.3,64.64333
39,2023-01-02 15:00:00+00:00,Dubai,515.0,123.95,29.45,6.0,26.7,46.6,64.85666
40,2023-01-02 16:00:00+00:00,Dubai,546.0,122.4,28.05,2.0,28.3,50.5,65.01
41,2023-01-02 17:00:00+00:00,Dubai,587.0,116.4,26.95,1.0,27.2,51.6,65.20333
42,2023-01-02 18:00:00+00:00,Dubai,602.0,107.25,25.45,1.0,24.5,49.5,65.34333
43,2023-01-02 19:00:00+00:00,Dubai,549.0,101.55,23.85,0.0,22.3,46.3,65.369995
44,2023-01-02 20:00:00+00:00,Dubai,463.0,95.5,22.1,0.0,21.5,43.9,65.299995
45,2023-01-02 21:00:00+00:00,Dubai,364.0,86.45,20.5,1.0,21.5,42.7,65.17999
46,2023-01-02 22:00:00+00:00,Dubai,323.0,77.35,20.25,7.0,22.2,43.0,65.03
47,2023-01-02 23:00:00+00:00,Dubai,295.0,67.15,20.6,15.0,23.5,44.7,64.87666
48,2023-01-03 00:00:00+00:00,Dubai,427.0,79.35,25.0,0.0,29.6,49.4,64.73
49,2023-01-03 01:00:00+00:00,Dubai,446.0,81.2,26.2,0.0,31.2,51.3,64.67
50,2023-01-03 02:00:00+00:00,Dubai,474.0,83.8,27.85,1.0,31.4,52.4,64.583336
51,2023-01-03 03:00:00+00:00,Dubai,493.0,84.6,28.5,4.0,31.1,53.2,64.38333
52,2023-01-03 04:00:00+00:00,Dubai,484.0,81.6,26.55,10.0,29.2,53.9,63.97333
53,2023-01-03 05:00:00+00:00,Dubai,462.0,76.55,23.35,18.0,28.8,55.3,63.41
54,2023-01-03 06:00:00+00:00,Dubai,419.0,68.5,19.55,30.0,25.6,50.6,62.783333
55,2023-01-03 07:00:00+00:00,Dubai,371.0,61.0,18.0,40.0,24.7,50.3,62.166668
56,2023-01-03 08:00:00+00:00,Dubai,311.0,52.45,16.95,51.0,22.7,48.3,61.893333
57,2023-01-03 09:00:00+00:00,Dubai,251.0,43.95,16.0,62.0,22.2,48.4,61.63
58,2023-01-03 10:00:00+00:00,Dubai,230.0,40.25,15.45,68.0,22.3,49.7,61.356667
59,2023-01-03 11:00:00+00:00,Dubai,224.0,38.45,15.1,73.0,21.7,50.2,61.11
60,2023-01-03 12:00:00+00:00,Dubai,318.0,59.4,23.3,55.0,23.1,48.7,60.86334
61,2023-01-03 13:00:00+00:00,Dubai,364.0,71.35,23.8,42.0,21.9,46.8,60.596664
62,2023-01-03 14:00:00+00:00,Dubai,429.0,88.25,24.45,24.0,23.9,48.8,60.373337
63,2023-01-03 15:00:00+00:00,Dubai,498.0,104.65,24.7,5.0,29.3,55.4,60.236668
64,2023-01-03 16:00:00+00:00,Dubai,524.0,106.2,23.95,0.0,29.5,57.0,60.323334
65,2023-01-03 17:00:00+00:00,Dubai,537.0,102.5,22.65,0.0,24.8,53.3,60.363335
66,2023-01-03 18:00:00+00:00,Dubai,520.0,95.8,20.8,1.0,20.7,47.0,60.283333
67,2023-01-03 19:00:00+00:00,Dubai,464.0,92.1,19.35,1.0,18.8,41.7,60.156666
68,2023-01-03 20:00:00+00:00,Dubai,382.0,87.85,17.8,2.0,18.3,38.9,60.04
69,2023-01-03 21:00:00+00:00,Dubai,289.0,79.25,16.15,7.0,18.5,37.7,59.666664
70,2023-01-03 22:00:00+00:00,Dubai,253.0,67.35,15.35,17.0,18.7,36.9,59.166664
71,2023-01-03 23:00:00+00:00,Dubai,231.0,52.7,14.8,31.0,18.9,36.8,58.583336
72,2023-01-04 00:00:00+00:00,Dubai,240.0,50.55,15.2,31.0,20.0,36.9,57.816673
