,Date,City,CO,NO2,SO2,O3,PM2.5,PM10,AQI
0,2023-01-01 00:00:00+00:00,Sydney,62.0,6.0,3.65,41.0,9.2,16.5,23.583336
1,2023-01-01 01:00:00+00:00,Sydney,62.0,5.25,3.45,45.0,9.1,16.5,23.466667
2,2023-01-01 02:00:00+00:00,Sydney,61.0,4.15,3.2,50.0,8.8,15.9,23.325003
3,2023-01-01 03:00:00+00:00,Sydney,61.0,3.2,2.9,55.0,8.8,16.1,23.150002
4,2023-01-01 04:00:00+00:00,Sydney,62.0,3.15,2.8,54.0,8.7,16.0,22.958332
5,2023-01-01 05:00:00+00:00,Sydney,63.0,3.45,2.8,52.0,8.8,16.1,22.733335
6,2023-01-01 06:00:00+00:00,Sydney,65.0,4.85,2.9,46.0,9.2,16.9,22.525002
7,2023-01-01 07:00:00+00:00,Sydney,68.0,7.1,3.15,40.0,9.5,17.2,22.391666
8,2023-01-01 08:00:00+00:00,Sydney,72.0,10.15,3.55,33.0,9.7,17.4,22.26667
9,2023-01-01 09:00:00+00:00,Sydney,78.0,14.1,4.05,25.0,10.0,17.7,22.15
10,2023-01-01 10:00:00+00:00,Sydney,84.0,16.85,4.35,21.0,10.7,18.6,22.016668
11,2023-01-01 11:00:00+00:00,Sydney,92.0,19.55,4.6,17.0,11.4,19.7,21.941666
12,2023-01-01 12:00:00+00:00,Sydney,99.0,21.85,5.3,13.0,11.9,20.4,21.858332
13,2023-01-01 13:00:00+00:00,Sydney,96.0,21.4,5.75,13.0,11.8,20.4,21.824999
14,2023-01-01 14:00:00+00:00,Sydney,92.0,20.75,6.35,14.0,11.8,20.3,21.849998
15,2023-01-01 15:00:00+00:00,Sydney,89.0,20.15,7.4,14.0,12.3,21.1,21.916664
16,2023-01-01 16:00:00+00:00,Sydney,92.0,20.6,8.35,13.0,13.0,22.0,22.016663
17,2023-01-01 17:00:00+00:00,Sydney,97.0,21.45,9.5,11.0,13.6,23.1,22.133331
18,2023-01-01 18:00:00+00:00,Sydney,101.0,20.9,10.7,11.0,15.3,25.4,22.224998
19,2023-01-01 19:00:00+00:00,Sydney,97.0,17.8,11.35,15.0,17.1,28.1,22.291664
20,2023-01-01 20:00:00+00:00,Sydney,89.0,13.3,11.85,21.0,13.9,23.9,22.341667
21,2023-01-01 21:00:00+00:00,Sydney,81.0,8.45,11.75,29.0,10.8,18.3,22.150002
22,2023-01-01 22:00:00+00:00,Sydney,79.0,7.1,10.75,34.0,9.5,15.9,22.099998
23,2023-01-01 23:00:00+00:00,Sydney,79.0,6.75,9.2,39.0,8.5,14.0,22.041666
24,2023-01-02 00:00:00+00:00,Sydney,89.0,5.75,5.55,46.0,6.9,11.8,21.95
